Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Time,Road_Type,Speed_limit,Junction_Control,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201404EL14020,373713,427347,-2.400043,53.741832,3,2,3,17:30,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01025076
201404EN14012,377330,445037,-2.346513,53.900999,2,1,1,18:55,Single carriageway,60,0,Darkeness: No street lighting,Fine without high winds,Wet/Damp,None,None,Yes,E01025321
201404FA14020,382831,432580,-2.262092,53.789248,3,3,1,18:15,Roundabout,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,Yes,E01024907
201405AA01662,328150,392053,-3.082635,53.420354,3,2,3,14:05,Dual carriageway,40,Giveway or uncontrolled,Daylight: Street light present,Fine with high winds,Dry,None,None,Yes,E01007210
201405BB01604,333765,397532,-2.999313,53.470331,3,2,1,22:10,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lighting unknown,Raining with high winds,Wet/Damp,None,None,No,E01006977
201405CC01621,341579,399045,-2.881892,53.484856,3,1,1,09:05,Single carriageway,30,0,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01006495
201405DD01617,349608,393672,-2.760043,53.437396,2,1,1,21:51,One way street,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01006903
201405DD01786,352583,391786,-2.714978,53.420721,3,3,1,19:15,Single carriageway,30,Automatic traffic signal,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01006908
201405DD01864,353847,395156,-2.696455,53.451123,3,1,1,14:30,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01006821
201405EE01618,336892,392982,-2.951297,53.429823,3,2,1,17:15,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01006545
201405EE01668,334168,390230,-2.991713,53.404756,3,1,1,15:05,Single carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,No,E01033752
201405EE01737,339100,390716,-2.917631,53.409717,2,2,1,20:30,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01006716
201405FF01678,341120,387385,-2.886625,53.380009,3,2,1,18:04,Dual carriageway,40,Automatic traffic signal,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01006532
201405FF03073,336790,389785,-2.95219,53.401078,3,2,1,14:30,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01006751
201406A083183,387990,400188,-2.182523,53.498244,3,1,2,02:48,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,Yes,E01005261
201406F083764,378145,398492,-2.330814,53.482681,3,1,1,10:05,Single carriageway,30,0,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,No,E01005599
201406F083778,373786,402626,-2.396846,53.519639,3,2,1,21:00,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,No,E01005712
201406N083746,382095,402370,-2.271513,53.517688,3,2,1,13:25,Single carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01005044
201406Q083040,391586,405441,-2.128457,53.545531,3,1,1,11:25,Single carriageway,30,0,Daylight: Street light present,Fine with high winds,Dry,None,None,Yes,E01005353
201406X083031,379747,418274,-2.307962,53.660553,3,3,1,16:07,Dual carriageway,70,0,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01005015
201411SJ03314,430559,515625,-1.529241,54.534993,3,2,1,15:30,Single carriageway,30,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01012307
201411SK03254,427613,525036,-1.573887,54.619736,3,2,1,20:55,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,No,E01020832
2.01E+137,403250,438631,-1.952091,53.843912,3,2,1,03:05,Single carriageway,30,Giveway or uncontrolled,Darkeness: No street lighting,Raining without high winds,Wet/Damp,None,None,Yes,E01010863
20141312E0364,410793,415069,-1.838262,53.632032,3,1,1,09:30,Single carriageway,30,0,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01011154
20141312E0547,405130,416737,-1.923874,53.64711,3,1,1,11:35,Dual carriageway,70,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01011070
20141312E0800,411923,436879,-1.82034,53.82804,3,2,1,08:00,Roundabout,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01010587
20141312E0841,413110,434415,-1.802411,53.805865,3,2,2,14:20,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01010805
20141312E1065,442837,425010,-1.35233,53.719744,3,1,1,15:25,Single carriageway,30,0,Daylight: Street light present,Fine without high winds,Dry,None,None,No,E01011756
20141312E1076,409647,424967,-1.855288,53.72102,3,1,1,16:20,Single carriageway,30,Automatic traffic signal,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01010994
20141312E1078,417044,420078,-1.74346,53.676889,3,3,1,16:20,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01011103
20141312E1274,416370,436872,-1.752778,53.827857,3,3,1,18:15,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01010775
20141312E1317,412348,415819,-1.814718,53.638739,3,2,1,18:40,Single carriageway,30,0,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01011237
20141312E1363,415878,418269,-1.761203,53.660666,3,2,1,07:00,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Fine without high winds,Dry,None,None,No,E01011106
20141312E1742,418518,433608,-1.72034,53.798449,3,2,4,23:05,Single carriageway,30,Automatic traffic signal,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,Roadworks,None,Yes,E01010622
20141312G0945,411954,416361,-1.820656,53.64362,2,1,1,18:00,One way street,30,0,Darkness: Street lights present and lit,Unknown,Wet/Damp,None,None,No,E01011234
20141312H1038,412876,433283,-1.806011,53.795697,3,2,1,11:30,Single carriageway,30,0,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,No,E01010628
201414A021214,453674,396280,-1.193057,53.460531,3,2,1,07:15,Single carriageway,60,0,Daylight: Street light present,Raining with high winds,Frost/Ice,None,None,Yes,E01007545
201414A021814,455744,404610,-1.160406,53.535183,3,2,1,22:10,Dual carriageway,40,Automatic traffic signal,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01007582
201414A021914,460599,403882,-1.087304,53.528104,3,3,2,19:30,Single carriageway,40,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01007566
201414A023414,462489,398452,-1.059876,53.479082,3,1,1,07:30,Single carriageway,30,0,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01007596
201414C017114,451748,392099,-1.222749,53.423145,3,2,1,16:10,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Frost/Ice,None,None,No,E01007761
201414C020114,437974,396293,-1.429507,53.462011,3,2,1,20:00,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Unknown,Dry,None,None,Yes,E01007808
201414K036414,436948,387435,-1.445996,53.382465,3,1,1,22:39,Single carriageway,20,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining without high winds,Wet/Damp,None,None,Yes,E01007885
201414K037314,438859,389490,-1.417015,53.4008,3,2,1,16:30,Single carriageway,30,0,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01007904
201414K039514,438013,383010,-1.430516,53.342617,3,2,1,16:50,Dual carriageway,40,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01008007
201414K039614,436652,382510,-1.451015,53.338218,3,2,1,14:55,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01008078
201414K050514,440553,386583,-1.391911,53.374544,2,1,1,10:47,Dual carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01007912
2014160A00431,526083,408285,-0.098108,53.556042,3,2,2,12:30,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine with high winds,Dry,None,None,Yes,E01013204
2014160A00521,527698,410605,-0.072795,53.576493,3,1,1,18:15,Single carriageway,30,Giveway or uncontrolled,Darkness: Street lights present and lit,Raining with high winds,Wet/Damp,None,None,Yes,E01013136
2014160C00751,474390,423107,-0.874713,53.699104,3,2,2,07:24,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Frost/Ice,None,None,Yes,E01013002
2014160C00771,496606,426845,-0.537154,53.729059,3,2,1,16:36,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01013092
2014160C00841,504808,439878,-0.408454,53.844575,3,2,1,11:28,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01013037
2014160C01161,503707,439174,-0.425419,53.83847,3,2,2,14:42,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01013041
2014160D00951,512938,431356,-0.288063,53.76631,3,2,1,06:49,Single carriageway,30,Automatic traffic signal,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01012827
2014160D00961,508861,428651,-0.35084,53.742874,3,1,1,16:20,Single carriageway,30,Automatic traffic signal,Darkness: Street lights present and lit,Fine without high winds,Wet/Damp,None,None,Yes,E01012855
2014170M10254,448848,519836,-1.24592,54.571404,3,2,1,15:00,Single carriageway,20,Giveway or uncontrolled,Daylight: Street light present,Raining with high winds,Wet/Damp,None,None,Yes,E01012041
2014170M30314,447185,515044,-1.272408,54.5285,3,2,1,15:16,Dual carriageway,70,0,Daylight: Street light present,Raining without high winds,Wet/Damp,None,None,Yes,E01032553
2014170S10404,444064,519506,-1.319963,54.568877,3,2,1,12:55,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01012254
2014170S40444,442839,511498,-1.340071,54.497019,3,2,1,12:18,Single carriageway,50,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Wet/Damp,None,None,Yes,E01012235
201420G002014,389360,299850,-2.158526,52.596311,3,2,1,08:35,Single carriageway,30,Giveway or uncontrolled,Daylight: Street light present,Fine without high winds,Dry,None,None,Yes,E01010523
